contamination,precision,recall_detection_rate,false_positive_rate,f1_score,true_positives,false_positives,true_negatives,false_negatives
0.02,0.03582554517133956,0.07210031347962383,0.018013036899080435,0.04786680541103018,23,619,33745,296
0.05,0.08236594803758983,0.4670846394984326,0.048306367128390176,0.1400375939849624,149,1660,32704,170
0.1,0.04375696767001115,0.49216300940438873,0.09984285880572692,0.08036856923470694,157,3431,30933,162
0.15,0.03067484662576687,0.5015673981191222,0.14713071819345827,0.057813911472448055,160,5056,29308,159
